video_id,title,description,channel,published
wkr8MSxmcC4,New Fenty Beauty Products GRWM,,The Santa Maria,2025-04-27T23:12:41Z
QZOMNYuV6MM,Fenty beauty gloss bomb stix 🤩 which ones your favorite??,,Slaybyjess,2024-07-15T23:17:35Z
GMOzJjqjpRk,NEW FENTY velvet matte liquid lipsticks shades⁉️👀 Brown Girl Friendly⁉️❌✅,,Monica Ravichandran,2023-10-05T17:32:32Z
PM1kV12SIF0,RARE BEAUTY TINTED MOISTURIZER VS FENTY BEAUTY EAZE DROP,WHICH ONE WOULD Y'ALL CHOOSE? I wear 50N in Rare Beauty and 21 in Fenty Beauty.,Cocoa Swatches,2022-05-01T23:14:28Z
PqHbwNUvsOA,Rihanna’s Halftime Show MUST HAVE! 🎤 Fenty Beauty’s #INVISIMATTE Blotting + Setting Powder ✨,Did y'all know #INVISIMATTE lotting + #settingpowder is Rihanna's #musthave in the bag?! ✨ This now refillable instant ...,Fenty Beauty By Rihanna,2022-08-18T21:21:54Z
Iacnuap0Qik,NEW Fenty Skin Tinted Moisturizer…Press white play button for full video #fentyskin #fentybeauty,,Ariell Ash,2024-06-08T19:55:05Z
QqrIbHfnxfI,Which is your fave? Soft’Lit by @fentybeauty ✨ #fentybeauty #softlitfoundation #makeup #foundation,,Meagan ,2024-08-14T20:17:26Z
gLU5hQXeguI,Fenty Beauty Gloss Bomb Heat Swatches,"Swatches of the Fenty Beauty Gloss Bomb Heat lip Hot Cherry Fu$$y Fenty Glow Hot Chocolit [gifted products, not sponsored]",Fresh Lengths,2022-09-18T17:07:01Z
oCNsBXJXUZ4,Sound ON 🔊 Rihanna&#39;s #asmr Fenty Face makeup tutorial has spoken and it says #SWIPEMELTGO!! 😍✨,"Lights, camera, ✨complexion perfection✨ #rihanna is in her ASMR eraaa while applying her iconic #FentyFace As MUVA said ...",Fenty Beauty By Rihanna,2023-08-12T19:00:20Z
cGdZ-HJwYl8,Rihanna Became a Billionaire Without Music?! The Fenty Beauty Empire Explained,Rihanna Became a Billionaire Without Music?! The Fenty Beauty Empire Explained Rihanna hasn't released an album since ...,FameFever ,2025-05-22T12:17:49Z
x2cY2bNVLH4,Top 2 and @Fentybeauty isn’t number 2 Fenty Eau de Parfum is 🔥 #fentyparfum #FentyParfumPartner,,Makeupshayla,2022-09-01T21:30:25Z
nQj3vOJ0oxg,BUY &amp; DON’T BUY from ms fenty beauty 👺✨,,Jenny Moon,2023-09-26T04:37:13Z
0mdd2g4oIWM,The Ultimate Red Lip Combo: Fenty Beauty&#39;s &quot;the Mvp&quot; Liquid Lipstick!,liptutorial #redlipstick #fentybeauty.,Tabeth Giselle,2024-02-02T20:57:00Z
H_wjM_3WsBk,NEW 💜 Fenty Beauty Powder Blushes!?! #makeup #fenty #ubcollective #powderblush,,Makeup2themaxx,2024-08-06T04:08:50Z
SZKaDlNhJcA,How to apply foundation with vitiligo skin | Onella using Fenty Beauty Foundation shades 110 and 420,,Fenty Beauty By Rihanna,2024-09-14T21:52:05Z
th-SfqKeOVg,New @fentybeauty blush shade in brown &amp; fair skin ✨color theory✨ @jazlmao,,Monica Ravichandran,2023-08-13T22:20:57Z
pcDZmMETpbo,It’s back using Fenty Beauty Eaze drop blurring skin tint shade 15 &amp; FENTY SKIN Hydra Vizor to cr,short #makeup #ASMR #skincare #makeupstorage #makeupstorytimetiktok #Style #beauty.,STYLE AND BEAUTY,2022-10-26T17:05:00Z
vrMS8TbLnJY,These fragrance gift sets are worth gifting! 🎁 ​⁠@PaulReactss unboxing Fenty holiday perfume sets,,Fenty Beauty By Rihanna,2024-12-07T00:32:21Z
1RJ3vxihroY,Does Fenty Beauty’s limited edition Gloss Bomb in MAJOR FLEX pass the color theory test??? 👀🖤✨,,Fenty Beauty By Rihanna,2024-06-26T02:46:00Z
hXE_tvOEpSc,Cloud lips anyone?😮‍💨☁️☁️☁️ #rihannasuperbowl2023 #rihanna #fentybeauty,,Mina Zibayi,2023-03-10T16:54:34Z
rce1Y61DOQg,Issa @Sephora takeover!! Rihanna announces Fenty Hair is now available in store and online! 🖤🤍,,Fenty Beauty By Rihanna,2024-09-03T17:17:03Z
3lePRmzj7iY,PRO FILT&#39;R COMPLEXION COLLECTION | FENTY BEAUTY,Shop our full new collection now! Pro Filt'r Concealer: http://bit.ly/2D3KDkY Pro Filt'r Setting Powder: http://bit.ly/2FnE52a Pro FIlt'r ...,Fenty Beauty By Rihanna,2019-01-11T17:29:42Z
96BcTR15pbs,Fenty Beauty Gloss Bomb Stix swatches (#makeup #fentybeauty ),Which one is your favourite @Fenty Beauty Gloss Stix? 1. Two'Lip Kiss 2. Fenty Glow 3. Os it Fu$$y.,Eva's Beauty Reviews,2024-09-07T19:50:48Z
d7UupEahQQY,FENTY BEAUTY PRO FILT&#39;R SOFT MATTE LONGWEAR FOUNDATION #SHORTS,5th time's a charm?✨ Fenty Beauty Pro Filt'R Soft Matte Longwear Liquid Foundation - Shade 385 Do you think this foundation ...,Mathusha Thurai,2023-02-28T14:00:31Z
k6FIzOQJq5Q,NEW FROM FENTY | Chocolate Cherriez Lips #fentybeauty #glossbomb #sephorakids #sephorasale,,Maj.Beauty,2025-04-06T04:12:36Z
WWRGEIeM_3o,Gloss bomb Hot chocolit Fenty Beauty #fentybeauty #glossbomb #hotchocolit,,raquel,2023-08-21T21:47:29Z
r8jMNsEfSJ0,Rihanna and @GLAMZILLA #shopping in #Sephora for Fenty Beauty’s Soft Lit Luminous Foundation ✨🛍,,Fenty Beauty By Rihanna,2024-05-09T00:50:24Z
